[ 2015-04-09T10:32:46+08:00 ] /User/bind | ERR: (ThinkException) 非法操作bind
[ 2015-04-09T10:35:57+08:00 ] /User/bind | ERR: (ThinkException) 非法操作bind
[ 2015-04-09T10:36:36+08:00 ] /User/index | ERR: (ThinkException) 模板不存在[./Tpl/User/index.html]
[ 2015-04-09T10:41:26+08:00 ] /User/index | ERR: (ThinkException) 模板不存在[./Tpl/User/index.html]
[ 2015-04-09T10:41:31+08:00 ] /User/index | ERR: (ThinkException) 模板不存在[./Tpl/User/index.html]
[ 2015-04-09T10:41:45+08:00 ] /User/index | ERR: (ThinkException) 模板不存在[./Tpl/User/index.html]
[ 2015-04-09T10:43:32+08:00 ] /User/index | ERR: (ThinkException) 模板不存在[./Tpl/User/index.html]
[ 2015-04-09T10:43:33+08:00 ] /User/index | ERR: (ThinkException) 模板不存在[./Tpl/User/index.html]
[ 2015-04-09T10:44:59+08:00 ] /User/index | ERR: (ThinkException) 模板不存在[./Tpl/User/index.html]
[ 2015-04-09T11:20:12+08:00 ] /user/... | ERR: (ThinkException) 非法操作...
[ 2015-04-09T11:20:12+08:00 ] /user/... | ERR: (ThinkException) 非法操作...
[ 2015-04-09T11:20:51+08:00 ] /user/... | ERR: (ThinkException) 非法操作...
[ 2015-04-09T11:20:51+08:00 ] /user/... | ERR: (ThinkException) 非法操作...
